"Date","Year","Number","Effort","Course","Ship.lat","Ship.lon","Angle","Dist.nm","Sight.lat","Sight.lon"
"Aug 8",1993,169,"on",0,31.014,-113.500166666667,339,3.8,31.0731267603448,-113.526665664297
"Aug 9",1993,171,"on",185,31.3843333333333,-114.5085,357,0.6,31.3743394250631,-114.508908762574
"Aug 9",1993,172,"off",180,31.3323333333333,-114.5125,7,0.8,31.3190993846448,-114.514402085876
"Aug 9",1993,173,"on",189,31.2971666666667,-114.5215,36,0.2,31.2948096440627,-114.524258345652
"Aug 9",1993,175,"on",189,31.2128333333333,-114.532666666667,355,1.1,31.1945446590786,-114.534161696341
"Aug 9",1993,176,"off",189,31.1883333333333,-114.533833333333,5,0.1,31.1867161737895,-114.534304648985
"Aug 9",1993,177,"off",189,31.1786666666667,-114.534666666667,35,1,31.1666776699944,-114.548197235528
"Aug 9",1993,178,"on",189,31.1535,-114.5385,45,0.4,31.1495814316514,-114.544802082253
"Aug 9",1993,179,"on",175,31.0661666666667,-114.540833333333,339,0.7,31.0556807361265,-114.534863296233
"Aug 9",1993,181,"on",175,30.8678333333333,-114.524166666667,298,0.6,30.8639260220484,-114.513443022085
"Aug 9",1993,183,"off",175,30.8133333333333,-114.5115,10,0.3,30.8083523598429,-114.512007377111
"Aug 11",1993,246,"on",185,31.251,-114.628833333333,2,1,31.2344575641393,-114.631208808019
"Aug 11",1993,247,"on",185,31.2441666666667,-114.629333333333,7,1.2,31.224603714652,-114.634195958626
"Aug 11",1993,248,"on",185,31.2395,-114.629833333333,340,1.8,31.2105222252113,-114.620754820793
"Aug 11",1993,249,"on",185,31.2296666666667,-114.630833333333,309,1.4,31.213457971356,-114.61120779534
"Aug 11",1993,250,"on",185,31.2275,-114.631166666667,325,0.9,31.2145096189432,-114.622397127154
"Aug 11",1993,251,"off",185,31.1903333333333,-114.6345,293,2.9,31.1676422077987,-114.584625089485
"Aug 11",1993,252,"off",185,31.1206666666667,-114.642166666667,347,2,31.0876577310419,-114.636749547635
"Aug 11",1993,253,"off",185,31.1136666666667,-114.642833333333,29,1.4,31.0943224566404,-114.658070465313
"Aug 11",1993,254,"off",177,31.0861666666667,-114.643166666667,353,3.8,31.0237955089759,-114.630333158025
"Aug 11",1993,269,"off",177,31.0218333333333,-114.64,62,1,31.0132493654182,-114.656668983202
"Aug 11",1993,270,"off",177,30.9785,-114.638333333333,356,0.87,30.9641080808012,-114.636272544338
"Aug 11",1993,257,"on",135,30.855,-114.5295,300,1.4,30.8610391110524,-114.50324428707
"Aug 11",1993,264,"on",5,31.2743333333333,-114.402833333333,30,0.5,31.2811596003691,-114.397240496919
"Aug 11",1993,265,"on",5,31.3116666666667,-114.399333333333,270,1.5,31.3138455602354,-114.428484565679
"Aug 11",1993,272,"on",6,31.3345,-114.397666666667,329,2.9,31.3783048763734,-114.421592402257
