"Date","Year","Number","Effort","Course","Ship.lat","Ship.lon","Angle","Dist.nm","Sight.lat","Sight.lon"
"Oct 25",2008,137,"on",358,31.1711666666667,-114.38,314,1.66,31.1896792801093,-114.404034319366
"Oct 25",2008,138,"on",358,31.1736666666667,-114.38,32,2.23,31.205853944174,-114.358273018593
"Oct 25",2008,139,"on",358,31.1781666666667,-114.379833333333,298,1.99,31.1927059763685,-114.414681299325
"Oct 25",2008,141,"on",358,31.1881666666667,-114.379333333333,310,0.51,31.1933997892069,-114.387163476003
"Oct 25",2008,142,"on",358,31.2071666666667,-114.379,280,1.33,31.2102516704046,-114.404665464937
"Oct 25",2008,143,"on",0,31.225,-114.379,323,1.59,31.2461638410163,-114.397653911328
"Oct 25",2008,144,"on",0,31.2261666666667,-114.379,276,1.33,31.2284837142691,-114.404780685934
"Oct 25",2008,145,"on",1,31.271,-114.378,319,1.33,31.2879806518225,-114.394673292361
"Oct 26",2008,148,"off",240,31.2456666666667,-114.416666666667,9,0.68,31.2416051632385,-114.429041787446
"Oct 26",2008,149,"off",239,31.2346666666667,-114.438333333333,32,1.14,31.234998262389,-114.460550932233
"Oct 26",2008,150,"off",239,31.232,-114.4435,332,1.33,31.2129994581678,-114.456848987188
"Oct 26",2008,151,"off",239,31.232,-114.443666666667,63,1.42,31.2445414225869,-114.467141965296
"Oct 26",2008,152,"off",239,31.2235,-114.46,237,0.68,31.2185317936697,-114.448088900542
"Oct 26",2008,153,"off",239,31.2195,-114.4685,295,0.2,31.2161849270154,-114.468092585453
"Oct 26",2008,154,"off",239,31.212,-114.483666666667,75,1.33,31.2273982605452,-114.502313677408
"Oct 26",2008,156,"off",237,31.0973333333333,-114.718333333333,351,1.14,31.0846198518125,-114.734820556079
"Oct 26",2008,161,"off",356,31.1031666666667,-114.529333333333,353,0.51,31.111510497726,-114.531227687442
"Oct 29",2008,168,"on",1,31.1231666666667,-114.550666666667,304,0.63,31.1291892192484,-114.560714631638
"Oct 29",2008,174,"on",178,31.1961666666667,-114.600166666667,342,0.63,31.1862998941484,-114.59596881576
"Oct 29",2008,176,"on",178,31.1786666666667,-114.600166666667,302,0.68,31.173,-114.588695348764
"Oct 29",2008,177,"on",181,31.0681666666667,-114.600333333333,324,0.51,31.0612038742902,-114.594641872927
"Oct 29",2008,178,"on",180,31.0363333333333,-114.600333333333,49,0.59,31.0298820862149,-114.608993997647
"Nov 19",2008,219,"on",2,30.9058333333333,-114.4505,8,1.14,30.9245446806406,-114.446653948538
"Nov 19",2008,220,"off",2,30.9098333333333,-114.4505,33,0.81,30.9208918859312,-114.441473908241
"Nov 19",2008,222,"off",2,30.9273333333333,-114.450166666667,33,0.81,30.9383918859312,-114.44113892287
"Nov 19",2008,223,"off",0,30.9396666666667,-114.450666666667,33,0.81,30.9509887193339,-114.44209324992
"Nov 19",2008,224,"off",0,30.9486666666667,-114.4515,303,0.38,30.9521160472218,-114.457693558941
