"Date","Year","Number","Effort","Course","Ship.lat","Ship.lon","Angle","Dist.nm","Sight.lat","Sight.lon"
"Sep 30",2015,99,"on",359,31.107,-114.701,318,2.13,31.1329630564075,-114.729284809247
"Sep 30",2015,100,"on",359,31.1085,-114.701,358,2.23,31.1456157310417,-114.703272758501
"Sep 30",2015,101,"off",184,31.145,-114.7005,21,0.88,31.1317074857901,-114.707741282715
"Sep 30",2015,106,"on",0,31.2901666666667,-114.501333333333,8,1.21,31.3101370727196,-114.498048260452
"Oct 1",2015,111,"off",48,31.0821666666667,-114.700833333333,4,2.23,31.1050487514996,-114.666627545742
"Oct 9",2015,153,"on",1,31.0348333333333,-114.5525,298,1.15,31.0441255177214,-114.572065970577
"Oct 9",2015,159,"on",0,31.106,-114.552666666667,8,0.81,31.119368618928,-114.550472000751
"Oct 9",2015,160,"on",0,31.1091666666667,-114.552666666667,347,0.68,31.1202095274009,-114.555644695442
"Oct 9",2015,164,"on",0,31.1155,-114.552833333333,7,0.59,31.1252600371578,-114.551433418739
"Oct 9",2015,163,"on",0,31.1173333333333,-114.552833333333,338,0.81,31.12985031537,-114.55874127918
"Oct 9",2015,165,"on",0,31.1185,-114.553,12,0.27,31.1229016642033,-114.551907083611
"Oct 9",2015,175,"off",166,31.3326666666667,-114.446166666667,354,1.66,31.3066685041583,-114.435091554923
"Oct 11",2015,235,"on",180,31.2978333333333,-114.546833333333,308,1.81,31.2792608788277,-114.519018735407
"Oct 11",2015,237,"on",18,31.275,-114.467833333333,0,0.52,31.2832424898079,-114.464699570602
"Oct 11",2015,239,"on",18,31.2825,-114.468,282,0.35,31.2854166666667,-114.473911382934
"Oct 12",2015,275,"on",1,31.2501666666667,-114.429,305,0.98,31.2597671591208,-114.444458097987
"Oct 12",2015,276,"on",352,31.256,-114.429666666667,305,1.03,31.2637935035789,-114.447560730097
"Oct 22",2015,399,"on",358,31.0233333333333,-114.668333333333,48,1.48,31.0404682398047,-114.647624128786
"Oct 22",2015,400,"on",8,31.0548333333333,-114.668666666667,50,1.43,31.0674630757976,-114.645070180137
"Oct 28",2015,466,"on",269,31.0111666666667,-114.545166666667,356,0.59,31.0103096351963,-114.556596143622
"Oct 28",2015,467,"on",269,31.0111666666667,-114.552833333333,49,0.68,31.0195889746887,-114.561682292963
"Oct 28",2015,468,"on",270,31.0113333333333,-114.580666666667,59,1.25,31.0291909854313,-114.593188431089
"Nov 14",2015,524,"on",359,31.2566666666667,-114.450333333333,315,0.77,31.2655814490876,-114.461133337113
"Nov 14",2015,529,"off",359,31.3115,-114.449,19,0.81,31.32433926297,-114.444116432276
"Nov 14",2015,530,"off",132,31.3066666666667,-114.441833333333,330,0.87,31.3036519471498,-114.425233715647
"Nov 24",2015,600,"on",0,31.1143333333333,-114.7075,327,1.21,31.1312465231202,-114.720331475427
"Nov 24",2015,601,"on",2,31.1365,-114.706833333333,21,0.46,31.1435572038765,-114.703333279869
"Nov 27",2015,645,"on",181,31.3056666666667,-114.4005,80,1.86,31.3008171982504,-114.436333913822
